parent_site,category_1,category_2,category_3,url_pg_1,url_pg_2
etsy,Accessories,Hair Accessories,Headbands & Turbans,https://www.etsy.com/c/handmade/accessories/hair-accessories/headbands?explicit=1,https://www.etsy.com/c/handmade/accessories/hair-accessories/headbands?explicit=1&ref=pagination&page=2
etsy,Accessories,Hair Accessories,Barrettes & Clips,https://www.etsy.com/c/handmade/accessories/hair-accessories/barrettes-and-clips?explicit=1,https://www.etsy.com/c/handmade/accessories/hair-accessories/barrettes-and-clips?explicit=1&ref=pagination&page=2
etsy,Accessories,Hair Accessories,Ties & Elastics,https://www.etsy.com/c/handmade/accessories/hair-accessories/ties-and-elastics?explicit=1,https://www.etsy.com/c/handmade/accessories/hair-accessories/ties-and-elastics?explicit=1&ref=pagination&page=2
etsy,Accessories,Hair Accessories,Hair Jewelry,https://www.etsy.com/c/handmade/accessories/hair-accessories/hair-jewelry?explicit=1,https://www.etsy.com/c/handmade/accessories/hair-accessories/hair-jewelry?explicit=1&ref=pagination&page=2
etsy,Accessories,Hair Accessories,Wreaths & Tiaras,https://www.etsy.com/c/handmade/accessories/hair-accessories/wreaths-and-tiaras?explicit=1,https://www.etsy.com/c/handmade/accessories/hair-accessories/wreaths-and-tiaras?explicit=1&ref=pagination&page=2
etsy,Accessories,Hair Accessories,Hair Pins,https://www.etsy.com/c/handmade/accessories/hair-accessories/hair-pins?explicit=1,https://www.etsy.com/c/handmade/accessories/hair-accessories/hair-pins?explicit=1&ref=pagination&page=2
etsy,Accessories,Hair Accessories,Decorative Combs,https://www.etsy.com/c/handmade/accessories/hair-accessories/decorative-combs?explicit=1,https://www.etsy.com/c/handmade/accessories/hair-accessories/decorative-combs?explicit=1&ref=pagination&page=2
etsy,Accessories,Hair Accessories,Fascinators & Mini Hats,https://www.etsy.com/c/handmade/accessories/hair-accessories/fascinators-and-mini-hats?explicit=1,https://www.etsy.com/c/handmade/accessories/hair-accessories/fascinators-and-mini-hats?explicit=1&ref=pagination&page=2
etsy,Accessories,Hair Accessories,Bun Holders & Makers,https://www.etsy.com/c/handmade/accessories/hair-accessories/bun-holders-and-makers?explicit=1,https://www.etsy.com/c/handmade/accessories/hair-accessories/bun-holders-and-makers?explicit=1&ref=pagination&page=2
etsy,Accessories,Hats & Caps,Winter Hats,https://www.etsy.com/c/handmade/accessories/hats-and-caps/winter-hats?explicit=1,https://www.etsy.com/c/handmade/accessories/hats-and-caps/winter-hats?explicit=1&ref=pagination&page=2
etsy,Accessories,Hats & Caps,Formal Hats,https://www.etsy.com/c/handmade/accessories/hats-and-caps/formal-hats?explicit=1,https://www.etsy.com/c/handmade/accessories/hats-and-caps/formal-hats?explicit=1&ref=pagination&page=2
etsy,Accessories,Hats & Caps,Sun Hats & Visors,https://www.etsy.com/c/handmade/accessories/hats-and-caps/sun-hats-and-visors?explicit=1,https://www.etsy.com/c/handmade/accessories/hats-and-caps/sun-hats-and-visors?explicit=1&ref=pagination&page=2
etsy,Accessories,Hats & Caps,Earmuffs & Ear Warmers,https://www.etsy.com/c/handmade/accessories/hats-and-caps/earmuffs-and-ear-warmers?explicit=1,https://www.etsy.com/c/handmade/accessories/hats-and-caps/earmuffs-and-ear-warmers?explicit=1&ref=pagination&page=2
etsy,Accessories,Hats & Caps,Helmets,https://www.etsy.com/c/handmade/accessories/hats-and-caps/helmets?explicit=1,https://www.etsy.com/c/handmade/accessories/hats-and-caps/helmets?explicit=1&ref=pagination&page=2
etsy,Accessories,Hats & Caps,Baseball & Trucker Caps,https://www.etsy.com/c/handmade/accessories/hats-and-caps/baseball-and-trucker-caps?explicit=1,https://www.etsy.com/c/handmade/accessories/hats-and-caps/baseball-and-trucker-caps?explicit=1&ref=pagination&page=2
etsy,Accessories,Hats & Caps,Slouchy Hats,https://www.etsy.com/c/handmade/accessories/hats-and-caps/slouchy-hats?explicit=1,https://www.etsy.com/c/handmade/accessories/hats-and-caps/slouchy-hats?explicit=1&ref=pagination&page=2
etsy,Accessories,Hats & Caps,Fascinators & Mini Hats,https://www.etsy.com/c/handmade/accessories/hats-and-caps/fascinators-and-mini-hats?explicit=1,https://www.etsy.com/c/handmade/accessories/hats-and-caps/fascinators-and-mini-hats?explicit=1&ref=pagination&page=2
etsy,Accessories,Hats & Caps,Veils,https://www.etsy.com/c/handmade/accessories/hats-and-caps/veils?explicit=1,https://www.etsy.com/c/handmade/accessories/hats-and-caps/veils?explicit=1&ref=pagination&page=2
etsy,Accessories,Keychains & Lanyards,Keychains,https://www.etsy.com/c/handmade/accessories/keychains-and-lanyards/keychains?explicit=1,https://www.etsy.com/c/handmade/accessories/keychains-and-lanyards/keychains?explicit=1&ref=pagination&page=2
etsy,Accessories,Keychains & Lanyards,Lanyards & Badge Holders,https://www.etsy.com/c/handmade/accessories/keychains-and-lanyards/lanyards?explicit=1,https://www.etsy.com/c/handmade/accessories/keychains-and-lanyards/lanyards?explicit=1&ref=pagination&page=2
etsy,Accessories,Keychains & Lanyards,Zipper Charms,https://www.etsy.com/c/handmade/accessories/keychains-and-lanyards/zipper-charms?explicit=1,https://www.etsy.com/c/handmade/accessories/keychains-and-lanyards/zipper-charms?explicit=1&ref=pagination&page=2
etsy,Accessories,Scarves & Wraps,Scarves,https://www.etsy.com/c/handmade/accessories/scarves-and-wraps/scarves?explicit=1,https://www.etsy.com/c/handmade/accessories/scarves-and-wraps/scarves?explicit=1&ref=pagination&page=2
etsy,Accessories,Scarves & Wraps,Shawls & Wraps,https://www.etsy.com/c/handmade/accessories/scarves-and-wraps/shawls-and-wraps?explicit=1,https://www.etsy.com/c/handmade/accessories/scarves-and-wraps/shawls-and-wraps?explicit=1&ref=pagination&page=2
etsy,Accessories,Scarves & Wraps,Handkerchiefs,https://www.etsy.com/c/handmade/accessories/scarves-and-wraps/handkerchiefs?explicit=1,https://www.etsy.com/c/handmade/accessories/scarves-and-wraps/handkerchiefs?explicit=1&ref=pagination&page=2
